# Result from Aerodeep
# Rigid turbine, rated condition, no pre-bend and pre-sweep
# U_wind = 15.0600 m/s, omega = 44.5164 rad/s
#
# - r: section radius, m
# - Fn, Ft: lineic normal and tangential forces, N/m
########################################################################
radius,Fn,Ft
0.21194070397307999,5.424666720000003,3.102513990000004
0.21968874993696,8.066334069999998,4.789264269999994
0.235125874557,7.657011430000008,4.878038709999999
0.25813459199124,5.262503779999993,3.6909601000000043
0.28853979200976,8.360854460000002,4.666344910000003
0.32611007268180003,18.975294999999978,6.141250300000008
0.37055950148328,34.95473009999996,7.368567260000008
0.42154979142191995,66.41910330000003,-9.27565589000001
0.47869287560496,109.07273199999986,-16.54122419999999
0.54155386065528,120.60679999999977,-17.52313729999999
0.60965433652164,133.9825039999998,-19.215258700000028
0.68247601746048,151.10315699999973,-20.648817000000005
0.7594646865125999,170.85112699999993,-21.90626980000001
0.84003441341532,191.6491409999999,-23.655288899999974
0.92357201390172,213.2919519999997,-25.277064500000037
1.00944171638832,235.82948000000022,-26.73499139999996
1.0969900005878401,269.48469599999964,-30.01839550000001
1.18555057119852,302.2448760000003,-32.7142076
1.27444942880148,334.85347000000064,-35.645130500000036
1.36300999941216,359.780025,-37.244700600000044
1.45055828361168,386.19401600000043,-39.55338419999999
1.53642798609828,408.0289620000002,-41.30025100000008
1.61996558658468,428.68794899999943,-43.09037440000006
1.7005353134874,448.0298250000006,-44.90897099999995
1.77752398253952,468.1583680000001,-46.58715359999997
1.85034566347836,485.8150989999997,-48.02996279999993
1.91844613934472,499.78178299999934,-49.03323790000003
1.98130712439504,509.8373509999995,-49.535490700000054
2.0384502085780802,515.7675090000001,-49.35562459999995
2.08944049851672,517.1874030000004,-48.25620900000003
2.1338899273182,510.85302600000006,-46.110870299999995
2.1714602079902403,487.05655799999994,-42.79186179999999
2.20186540800876,419.9331219999995,-37.475997700000015
2.2248741254430002,306.68827999999974,-29.204924800000022
2.24031125006304,180.12212600000015,-18.68377149999999
2.24805929602692,61.478946100000016,-7.69450826000001
