radius twist chord airfoil
0.211940703974 0.0 -0.195 AF0
0.219688749936 0.0 -0.195 AF1
0.235125874557 0.0 -0.149970397419 AF2
0.258134591992 0.0 -0.09 AF3
0.28853979201 -0.020651884783 -0.1008250875139999 AF4
0.326110072682 -0.078128471938 -0.130952559775 AF5
0.370559501483 -0.146129067698 -0.166596396055 AF6
0.421549791422 -0.224136146469 -0.207485325237 AF7
0.478692875603 -0.282127641535 -0.238192391685 AF8
0.541553860654 -0.26522144722 -0.230752097305 AF9
0.60965433652 -0.23733689182 -0.218488100823 AF10
0.682476017461 -0.208805122286 -0.206006918921 AF11
0.759464686512 -0.184248179038 -0.195514923215 AF12
0.840034413416 -0.160114686817 -0.185110669474 AF13
0.923572013902 -0.140430358905 -0.175562089205 AF14
1.009441716388 -0.126646840386 -0.167433200299 AF15
1.096990000589 -0.114945357839 -0.160592498397 AF16
1.185550571198 -0.103108575648 -0.153672700147 AF17
1.274449428801 -0.091226578872 -0.146726469393 AF18
1.363009999412 -0.082292558299 -0.14114700824 AF19
1.450558283611 -0.072064285286 -0.135466779357 AF20
1.536427986098 -0.065515381932 -0.130646356161 AF21
1.619965586583 -0.059423021744 -0.126016472919 AF22
1.700535313487 -0.053547107261 -0.121551077382 AF23
1.777523982538 -0.047260641151 -0.11727279862 AF24
1.850345663479 -0.041173029313 -0.112992363874 AF25
1.918446139346 -0.035476396777 -0.108829392278 AF26
1.981307124396 -0.030073055082 -0.104846775751 AF27
2.038450208578 -0.024933123905 -0.101229841187 AF28
2.089440498517 -0.020146412296 -0.098180593253 AF29
2.133889927319 -0.015638526069 -0.094959273367 AF30
2.171460207989 -0.011140749871 -0.088963931168 AF31
2.201865408009 -0.006935726724 -0.073944629235 AF32
2.224874125444 -0.003611417142 -0.050911463413 AF33
2.240311250063 -0.001392592685 -0.028157626526 AF34
2.248059296027 -0.000278943045 -0.008748172727 AF35
